file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
150051141.png,6,0.984304,1156,206,1435,206,1435,459,1156,459
150051141.png,1,0.978224,1030,846,1330,846,1330,1079,1030,1079
150051141.png,8,0.779359,1349,1001,1580,1001,1580,1080,1349,1080
104943288.png,12,0.893008,1137,108,1358,108,1358,331,1137,331
104943288.png,8,0.62229,1340,1016,1639,1016,1639,1079,1340,1079
104943288.png,4,0.598553,1136,108,1358,108,1358,333,1136,333
104943288.png,1,0.570891,1337,1016,1628,1016,1628,1079,1337,1079
072257646.png,16,0.986118,1330,557,1658,557,1658,911,1330,911
112959999.png,11,0.986991,1185,235,1478,235,1478,582,1185,582
112959999.png,27,0.954246,971,670,1276,670,1276,989,971,989
112959999.png,2,0.824372,969,668,1278,668,1278,975,969,975
112959999.png,6,0.757489,1447,1020,1812,1020,1812,1079,1447,1079
112959999.png,13,0.739842,1313,1019,1830,1019,1830,1079,1313,1079
112959999.png,8,0.557079,1314,1014,1833,1014,1833,1079,1314,1079
101735743.png,12,0.984882,681,45,922,45,922,260,681,260
101735743.png,1,0.663316,1327,1016,1646,1016,1646,1080,1327,1080
135301949.png,15,0.984959,766,97,1018,97,1018,326,766,326
135301949.png,8,0.669223,1360,1001,1599,1001,1599,1079,1360,1079
174644756.png,15,0.984834,1289,545,1586,545,1586,812,1289,812
174644756.png,29,0.977485,1122,164,1391,164,1391,452,1122,452
174644756.png,28,0.845211,1120,163,1390,163,1390,451,1120,451
174644756.png,1,0.67838,312,94,562,94,562,354,312,354
174644756.png,12,0.663854,1246,1008,1613,1008,1613,1079,1246,1079
174644756.png,17,0.647556,312,94,562,94,562,355,312,355
174333894.png,10,0.985766,816,494,1092,494,1092,752,816,752
080328944.png,6,0.981436,1204,499,1516,499,1516,811,1204,811
155128996.png,29,0.984285,772,84,1010,84,1010,328,772,328
155128996.png,21,0.97247,1388,599,1688,599,1688,892,1388,892
155128996.png,31,0.939172,1388,598,1689,598,1689,893,1388,893
155128996.png,22,0.810506,1080,0,1327,0,1327,213,1080,213
155128996.png,24,0.638876,1080,0,1326,0,1326,213,1080,213
144417903.png,0,0.98449,1166,172,1429,172,1429,406,1166,406
140003340.png,19,0.984068,773,185,1030,185,1030,418,773,418
123658269.png,7,0.966641,471,509,761,509,761,826,471,826
123658269.png,6,0.950412,466,506,761,506,761,829,466,829
123658269.png,8,0.703061,1350,1006,1659,1006,1659,1080,1350,1080
072655405.png,27,0.98368,463,587,734,587,734,893,463,893
072655405.png,8,0.514996,1302,1017,1586,1017,1586,1080,1302,1080
145609940.png,33,0.984526,424,317,675,317,675,596,424,596
111443286.png,1,0.984634,968,630,1259,630,1259,898,968,898
111443286.png,1,0.805805,1323,1015,1625,1015,1625,1080,1323,1080
111443286.png,24,0.649973,318,0,564,0,564,226,318,226
165103746.png,7,0.982618,1075,0,1346,0,1346,268,1075,268
165103746.png,8,0.877697,1319,1004,1556,1004,1556,1079,1319,1079
130602723.png,15,0.979585,1103,48,1356,48,1356,267,1103,267
130602723.png,8,0.900108,1357,1007,1617,1007,1617,1079,1357,1079
111503789.png,1,0.75115,1318,1013,1612,1013,1612,1080,1318,1080
111503789.png,0,0.642552,1307,407,1553,407,1553,651,1307,651
111503789.png,22,0.606909,1308,408,1555,408,1555,659,1308,659
174539993.png,0,0.968997,449,540,739,540,739,867,449,867
174539993.png,3,0.855198,640,0,877,0,877,259,640,259
174539993.png,32,0.757704,642,0,879,0,879,260,642,260
174539993.png,24,0.663937,1130,0,1214,0,1214,186,1130,186
174539993.png,21,0.572158,449,539,739,539,739,862,449,862
174539993.png,32,0.528019,449,540,738,540,738,862,449,862
172507655.png,0,0.98307,361,296,620,296,620,543,361,543
073540185.png,5,0.983547,710,113,969,113,969,351,710,351
073540185.png,1,0.544185,1299,1016,1542,1016,1542,1080,1299,1080
140137012.png,12,0.984947,742,35,980,35,980,252,742,252
140137012.png,8,0.707656,1355,1006,1592,1006,1592,1080,1355,1080
143139451.png,18,0.98179,617,719,901,719,901,994,617,994
143139451.png,6,0.968001,619,720,902,720,902,993,619,993
143727286.png,14,0.983112,851,409,1120,409,1120,663,851,663
135724287.png,28,0.985325,1183,139,1445,139,1445,407,1183,407
135724287.png,8,0.552455,1357,1001,1631,1001,1631,1079,1357,1079
155108989.png,32,0.984003,444,437,711,437,711,729,444,729
155108989.png,6,0.963237,1202,267,1492,267,1492,551,1202,551
100955579.png,12,0.983936,356,227,604,227,604,461,356,461
100955579.png,1,0.951072,689,17,951,17,951,294,689,294
100955579.png,8,0.88896,1321,1008,1588,1008,1588,1080,1321,1080
094938948.png,3,0.974196,1069,40,1316,40,1316,301,1069,301
094938948.png,33,0.908099,1068,39,1315,39,1315,302,1068,302
094938948.png,29,0.682241,1068,39,1315,39,1315,302,1068,302
143550460.png,15,0.982017,737,22,981,22,981,245,737,245
101501466.png,11,0.981355,366,86,631,86,631,396,366,396
101501466.png,0,0.980198,1185,240,1451,240,1451,483,1185,483
101501466.png,8,0.683569,1321,1018,1622,1018,1622,1079,1321,1079
123419884.png,0,0.979083,1124,85,1379,85,1379,322,1124,322
122658529.png,18,0.984111,1158,166,1414,166,1414,398,1158,398
122658529.png,8,0.888045,1351,1004,1634,1004,1634,1080,1351,1080
144043795.png,21,0.986654,1063,198,1332,198,1332,511,1063,511
180921840.png,1,0.984801,454,757,741,757,741,1044,454,1044
180921840.png,1,0.892784,1288,1010,1633,1010,1633,1080,1288,1080
115450442.png,5,0.985645,1029,641,1331,641,1331,925,1029,925
115450442.png,1,0.964207,584,818,894,818,894,1080,584,1080
115450442.png,27,0.763613,583,820,893,820,893,1080,583,1080
115450442.png,8,0.656708,1342,1009,1644,1009,1644,1079,1342,1079
095610331.png,29,0.983558,1019,0,1255,0,1255,234,1019,234
095610331.png,1,0.677193,1336,1010,1599,1010,1599,1080,1336,1080
112531798.png,31,0.983271,1221,281,1486,281,1486,534,1221,534
112531798.png,1,0.78657,1332,1012,1635,1012,1635,1080,1332,1080
173541029.png,20,0.986441,489,675,772,675,772,954,489,954
153924467.png,13,0.982816,1096,118,1350,118,1350,353,1096,353
071020846.png,16,0.985906,1246,399,1558,399,1558,730,1246,730
095938734.png,19,0.980094,686,79,939,79,939,302,686,302
095938734.png,8,0.868742,1312,1009,1594,1009,1594,1080,1312,1080
095938734.png,15,0.808281,685,80,939,80,939,303,685,303
112253363.png,25,0.986779,843,258,1118,258,1118,560,843,560
112253363.png,33,0.981347,1393,562,1698,562,1698,864,1393,864
112253363.png,29,0.85556,1392,562,1695,562,1695,862,1392,862
112253363.png,32,0.73496,1392,564,1696,564,1696,866,1392,866
085906241.png,0,0.978979,1331,623,1623,623,1623,890,1331,890
085906241.png,10,0.903655,1330,622,1620,622,1620,889,1330,889
122623337.png,23,0.982025,814,284,1047,284,1047,518,814,518
141320334.png,26,0.980192,727,127,991,127,991,420,727,420
122845898.png,23,0.980943,740,140,963,140,963,370,740,370
122845898.png,27,0.932669,1391,712,1721,712,1721,1006,1391,1006
103511748.png,23,0.984572,1148,187,1375,187,1375,421,1148,421
103511748.png,8,0.519038,1294,1014,1598,1014,1598,1079,1294,1079
121530405.png,17,0.930111,1149,147,1440,147,1440,443,1149,443
121530405.png,7,0.747629,1149,148,1441,148,1441,444,1149,444
121530405.png,8,0.670406,1345,1009,1660,1009,1660,1079,1345,1079
084158522.png,12,0.984313,1088,58,1333,58,1333,278,1088,278
084158522.png,8,0.671139,1306,1012,1598,1012,1598,1080,1306,1080
165425147.png,14,0.981526,1380,654,1681,654,1681,925,1380,925
165425147.png,15,0.667923,361,298,625,298,625,575,361,575
143513017.png,8,0.979765,466,352,708,352,708,593,466,593
143513017.png,8,0.891089,1356,1000,1596,1000,1596,1080,1356,1080
182424776.png,22,0.980449,746,167,1013,167,1013,445,746,445
182424776.png,3,0.9793,317,132,559,132,559,398,317,398
182424776.png,1,0.553659,1285,1009,1557,1009,1557,1079,1285,1079
112941508.png,14,0.982375,1266,336,1539,336,1539,583,1266,583
074454738.png,13,0.984951,908,505,1185,505,1185,764,908,764
160904447.png,28,0.985442,1191,244,1460,244,1460,524,1191,524
160904447.png,8,0.816052,1313,998,1546,998,1546,1079,1313,1079
151928959.png,14,0.983561,507,556,782,556,782,821,507,821
151928959.png,8,0.696565,1348,998,1592,998,1592,1079,1348,1079
173354886.png,15,0.97675,380,371,642,371,642,620,380,620
173354886.png,11,0.95702,447,658,765,658,765,1006,447,1006
173354886.png,17,0.94763,448,658,765,658,765,1008,448,1008
173354886.png,12,0.62474,1251,1007,1605,1007,1605,1079,1251,1079
173354886.png,8,0.559641,1264,1007,1567,1007,1567,1079,1264,1079
173354886.png,23,0.51571,446,657,762,657,762,1004,446,1004
103014908.png,8,0.984417,693,126,934,126,934,345,693,345
120921972.png,1,0.986554,958,532,1241,532,1241,800,958,800
114150894.png,16,0.985968,782,130,1059,130,1059,432,782,432
114150894.png,1,0.605339,1325,1016,1637,1016,1637,1079,1325,1079
114150894.png,8,0.574466,1327,1016,1635,1016,1635,1080,1327,1080
152657245.png,4,0.986149,735,35,976,35,976,294,735,294
141024642.png,32,0.984863,1423,741,1739,741,1739,1080,1423,1080
113535167.png,25,0.981604,797,223,1062,223,1062,520,797,520
113535167.png,28,0.901237,796,223,1061,223,1061,518,796,518
113535167.png,1,0.637737,1337,1014,1614,1014,1614,1079,1337,1079
170905962.png,4,0.985336,794,215,1042,215,1042,487,794,487
085821211.png,25,0.986219,1131,309,1417,309,1417,614,1131,614
142824714.png,6,0.985024,1106,71,1369,71,1369,305,1106,305
142824714.png,8,0.627756,1356,1001,1665,1001,1665,1080,1356,1080
144935134.png,29,0.980264,409,177,648,177,648,429,409,429
110139839.png,14,0.983361,1212,390,1490,390,1490,643,1212,643
110139839.png,1,0.873854,1326,1017,1624,1017,1624,1079,1326,1079
131121726.png,18,0.983435,740,157,990,157,990,388,740,388
131121726.png,1,0.529381,1341,1004,1643,1004,1643,1080,1341,1080
